trace_num,replacement,ipc
024,lfu,0.458195
028,lru,0.395377
028,fifo,0.394056
021,lru,0.275191
028,drrip,0.394834
024,bip,0.45465
028,bip,0.394834
022,drrip,0.274874
022,fifo,0.274591
026,lru,0.434512
021,fifo,0.275366
021,lfu,0.275915
022,belady,0.276012
026,drrip,0.434319
024,lru,0.45503
021,belady,0.275683
026,bip,0.434319
028,lfu,0.39625
021,drrip,0.275276
022,lru,0.274825
022,bip,0.274874
026,fifo,0.433629
026,lfu,0.438144
021,bip,0.275276
024,belady,0.458505
026,belady,0.436386
022,lfu,0.276948
024,fifo,0.454194
028,belady,0.392664
024,drrip,0.45465
