trace_num,replacement,avg_latency
024,lfu,37.9488
028,lru,44.131
028,fifo,43.808
021,lru,36.8207
028,drrip,44.0955
024,bip,42.842
028,bip,44.0955
022,drrip,36.1859
022,fifo,35.9618
026,lru,42.6916
021,fifo,36.3322
021,lfu,32.0812
022,belady,31.3111
026,drrip,42.5535
024,lru,42.9779
021,belady,31.9417
026,bip,42.5535
028,lfu,39.6148
021,drrip,36.9415
022,lru,36.2584
022,bip,36.1859
026,fifo,42.2599
026,lfu,37.4437
021,bip,36.9415
024,belady,37.9133
026,belady,37.4256
022,lfu,31.1979
024,fifo,42.4587
028,belady,39.8648
024,drrip,42.842
