trace_num,replacement,access,hit,miss
024,lfu,5165150,2842315,2322835
028,lru,5718698,3503886,2214812
028,fifo,5729690,3486857,2242833
021,lru,2391152,1943312,447840
028,drrip,5727299,3502064,2225235
024,bip,5205390,3314959,1890431
028,bip,5727299,3502064,2225235
022,drrip,2398333,1962215,436118
022,fifo,2368397,1900627,467770
026,lru,5501382,3463031,2038351
021,fifo,2370629,1897210,473419
021,lfu,2449076,1877827,571249
022,belady,2378269,1789479,588790
026,drrip,5510297,3460074,2050223
024,lru,5198592,3317626,1880966
021,belady,2457517,1884120,573397
026,bip,5510297,3460074,2050223
028,lfu,5760145,3061926,2698219
021,drrip,2398421,1961570,436851
022,lru,2394242,1944805,449437
022,bip,2398333,1962215,436118
026,fifo,5501743,3435384,2066359
026,lfu,5481088,2966016,2515072
021,bip,2398421,1961570,436851
024,belady,5137652,2831547,2306105
026,belady,5507703,2978983,2528720
022,lfu,2395218,1807064,588154
024,fifo,5196398,3287863,1908535
028,belady,5735261,3046695,2688566
024,drrip,5205390,3314959,1890431
